user,ulasan,label,tanggal
Repal Erisandi,"Berbelanja mudah,cepat langsung di proses dan barang yg di beli sesuai dgn permintaan 👍",1,15 Maret 2021
sesilia lomena,"sepertinya tidak perlu keluar rumah, krn semua kebutuhan tersedia disini. shopee is the Best! ❤",1,16 Maret 2021
Siti Fatimah,"Selama belanja disini gg ad masalah apa2 selalu nmuin seller2 yg amaanah Alhamdulillah cm pernah ad pengirim an yg lama 1mnggu ,tapi masih ok lah dn sempat beli HP di shopee pakai gosen Alhamdulillah amaah lancar",1,16 Maret 2021
Raden Lukman,"Belanja mudah, terpecaya, aman, & ngak ribet👍👍👍 Aq berasa nyaman belaja di shopee , bikin Betah belanja dishopee",1,04 Maret 2021
verra novri,Sering nya selalu puas sih belanja disini.. deskripsi nya jelas.. plus review2 nya sebagai bahan pertimbangan..👍👍,1,04 Maret 2021
Ade Irawan,Aplikasi nya keren dan ringan jadi pengen buka terus aplikasi shopee dan permudah buat kita2 belanja online ditambah lagi diskon dan free kirim,1,09 Maret 2021
Smellida K,Kenapa saya sulit untuk mengirim pesan terhadap penjual.dari kemarin trus mengirimkan tapi tidak bisa terkirim..,1,04 Maret 2021
Sulaiha Lpg,"Belanja di ol.shopee terpercaya, belanja lewat ol shopee ini tidak pernah mengecewakan.",1,09 Maret 2021
Lusi Ekasaputri,Shope tuh mengerti segala kebutuhan saya jadi makin cinta deh ama shope buat kalian buktikan sendiri 🤗😍😍😍,1,09 Maret 2021
YDN Chanel Go,Bagus sekali dan memuaskan setiap pembelian barang di shopee. Terimakasih shofee..,1,11 Maret 2021
xo xo,Bisa ga sih min penjual2 yg suka menipu dlm pengiriman jumlah barang di block gt biar pembeli ga byk yg kecewa,1,12 Maret 2021
Sujana G,"Belanja semakin mudah ,tinggal klik aja barang yg kita inginkan, semua ada di shopee😘😘😘😅shopee slalu di hati❤",1,22 Februari 2021
Andre Satria,Kenapa saya kasih bintang lima karna saya hampir setengah taun pake aplikasi shopee rasa nya sangat puas dan aman aman aja lah sejauh ini... Smoga berkah aja buat smuanya... Dan dilancarkan seluruh orderan atau bisnis yg ada di Shopee... Aamiinn🙏,1,18 Januari 2021
Is Tini,Ok sih tpi kenapa ya limit shoppy paylater saya blm balik utuh padahal sudah di lunasi semua sebelum jatuh tempo,1,28 Februari 2021
Lina Abriyanti,"Keren,cepat,sangat membantu... Hanya minus banyak di salah gunakan untuk penipuan yg mengatas namakan shoppe,coz saya hampir kena penipuan tsb. Overall apk ini sangat membantu,untuk kedepannya klo bisa tambahkan jasa rekber untuk bisa jual beli dari luar apk.",1,22 Februari 2021
azka geming342,Aplikasi shopee ini sangat bagus gara2 saya dapat uang shopeepay 30k gratis aku gak tau garansinya sampai mana cepat downoad shopee nanti telat gak bisa dapat uang saku wkwkwkwkwkwkwkwkwk,1,03 Maret 2021
Laura Peolopessi,"Banyak membantu tentunya saat corona ini,hanya saja harus teliti lg utk seller2 agar gak sembarangan jual produk langsung sanksi",1,26 Februari 2021
Zolopoex Style,"Jempol 5 pokoknya.hampir semua kebutuhan saya beli d shopee,cuma kadang ada yg sdikit buat aku kesel,ketika sayat lihat2 produk kemudian liat ongkir itu terlihat cuma 17.000(misal) pokoke murah lah kayak cuma tarif 1kg doank. tapi ketika udah mau chekout itu brubah jadi 120.000. Padahal calon pembeli itu ketika mau beli brang pasti bandinging dr toko mana aja dengan meng-akumulasi sama ongkirnya.jadi menurut saya,ke-akurasinya ongkir ketika produk baru di lihat gak tepat.bnyak yg melenceng.",1,04 Maret 2021
Widya Wite079,Kenapa sih app Shopee ini....!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Aku tu jadi ketagihan belanaja terus tauu..... Please banyakin gratis ongkir yahhh 🙏🏻 ❤️❤️❤️,1,04 Januari 2021
Jsparfumku. Store,Terima Kasih Shopee Allhamdulillah Sejak download apk ini sangat bermanfaat untuk berjualan atau Berbelanja :),1,07 Maret 2021
Wawan Kurniawan,Kenapa sy tidak bisa melakukan Retur barang pdhl terjadi kesalahan kirim dr pihak Toko. Sy sudah email pihak shopee. Mohon segera ditindaklanjuti,1,11 Maret 2021
xo xo,Bisa ga sih min penjual2 yg suka menipu dlm pengiriman jumlah barang di block gt biar pembeli ga byk yg kecewa,1,12 Maret 2021
Rois Pepep,Shopee mantap tapi belum bisa membantu menambah limit pinjmaman. Padahal saya sudah berusaha...,1,08 Maret 2021
purba channel,"Aplikasi ini sangat membantu dlm kebutuhan kita, mudah dan gc ribet.. Mantap lah pokoknya",1,26 Februari 2021
Yuli Vibri,Sudah lama saya pakai shoope mau tanya setiap toko ada tulisan potongan. 20.000 min belanja 0 kenapa ya gk bosa dipakai,1,03 Maret 2021
Gadis Dumay,"Sekarang aplikasi semakin bagus tidak lag dan banyak promonya , udh gitu ngasih cicilan dan pinjaman . Ah baiknya aplikasi ini",1,26 Februari 2021
indah prahasti,"Shopee sekarang gak kaya shopee dulu, sekarang udah jarang dapet gratis ongkir, harus minimum pembelian 50rbu baru dapet gratis ongkir. Mau belanja banyak nunggu sebulan sekali nunggu tiap tanggal&bulan sama. Semoga shopee kedepanya lebih memberikan banyak voucher gratis ongkir lagi tiap hari yaa.",1,27 Februari 2021
Sri Astuti,"Susah daftar shopee ... pengen belanja online sendiri, biar gk ribet gmn sih mbak,,,???",1,28 Februari 2021
Syifani Fani,"Alhamdulillah selama ini shopee sdh bnyak membantu saya utk belanja online , semoga makin keren lg kedepannya ,,",1,05 Maret 2021
Shintia Larasati,"belanja di shopee tidak sia sia semakin banyak kita transaksi semakin banyak juga diskon2 nya.spaylater sm spinjam sangat membantu kita saat keadaan pandemi,semoga limit ku bs di tambah lagi,kekurangan nya hanya di ongkir..mahal mahal ongkir nya.",1,20 Februari 2021
Puput Mbeb,Sejauh ini selalu puas dengan pelayanan shopee.. terimaksih telah memudahkan utk berbelanja..,1,12 Maret 2021
Jessica Pathrine,Semua org juga tau kali kalo shopee bagus banget. Tapi gratis ongkir untuk luar pulau jawa (khusus yg tinggal di kabupaten luar jawa) kasih dispensasi lebih dong. Krn katanya gratis ongkir tp tetep aja bayar stengah harga ongkir :( itumah gak free namanya. Kasihanilah kami yg di kabupaten ini,1,02 Februari 2021
Ana New,Shopee untuk ku memang paling murah sedunia nggak kayak toko diluar sana pasti tidak akan murah seperti shopee 4.4 mega,1,09 Maret 2021
Hp vivo,"Menurut sy ...dn apa yg sy rasa.....kn Shopee twrbaik dr apl lain ny.....skrng sy nongkyny d shopee.....krn shopee ada via cod ny....soal respond penjual sangt"" baik hmpir smua penjual...cmn kdang ad yg lm respondny ada yg cpt...sy si mklumin itu...... Pengiriman....sangt"" cpt...pokony blnj d shopee itu g pernh kecewa....mnrt sy y....bgs shopee itu.......sukses trus untk shopee.......sy sih sk bgttt blnja d shopee love sophee.....😎😎😍",1,11 Maret 2021
Dian Fitri Samsi,Marketplace yg Terlama n paling Paham pengunaannya...Semoga Semakin Berkualitas dan tidak ada lagi Penjual yg tidak bertanggung jawab,1,13 Maret 2021
Ryan Ghipo,"Setiap pembelian d shopee, respon cpt, dan sesuai pesanan👍👍...susses selalu buat Shopee",1,02 Maret 2021
Muhammad Fairid Nahdi,Shopee tambahin dong bantuan teman penyiraman dari 15 orang jadi 20 orang..khasihan teman yang sdh aktif 15 orang...ehhh ada orang yang laen yang nyiram tanaman kita..malah tak bisa membalas balik siraaammm..khan khasihaaann😭😭😭😭😭😭😭😭😭,1,12 Maret 2021
Ratna Sari,"Harganya murah2 tp kualitas ga murahan,,, dpt gratisan ongkir terus,,,👍",1,08 Maret 2021
Rizma Marwan,"Selalu puas belanja dishopee...pengen blanja lg...lg...lg...buka hp, yg diliat shopee...👍👍👍",1,13 Maret 2021
Sikinn Asikin,"Buat semua pelayanannya bagus sih,ok lah pokonya udah hampir 10x pesan di soopee ga pernah kecewa",1,08 Maret 2021
risa nurmetia,"Belanja bulanan hal biasa bagi ibu rumahtangga,terkadang menyenangkan tp adakalanya membingungkan karena membutuhkan waktu,tenaga dn pikiran,tp alhamdulilah dgn adanya shopee sy bnr2 merasa terbantu terutama dlm tenaga apalagi dlm kondisi covid seperti ini..rasa khawatir kt untuk bepergian sangat tinggi, tp Alhamdulillah ..dgn adanya shopee kt ckp ""klik' sj.inshaalloh kebutuhan kt tercukupi..terimakasih shopee. Semoga kedepan makin bertambah voucher nya.",1,27 Februari 2021
Aisyah Icha,Shopee sangat membantu pokoknya is the best lah!!! Sukses selalu shopee.,1,24 Februari 2021
Agus Saman,Baru mulai jualan sdh banyak yg respon baik harga maupun ongkirnya..sipp ..kualitas barang lebih oke ya,1,10 Maret 2021
sesilia lomena,"sepertinya tidak perlu keluar rumah, krn semua kebutuhan tersedia disini. shopee is the Best! ❤",1,16 Maret 2021
Diar Risma,Oke sekarang saya kasih bintang 5 karna pelayanan semakin diperbaiki terima kasih shoope karna mau mendengarkan konsumen,1,09 Maret 2021
Tirta AMH,"No. 1 Online Shoping di Indonesia. Memberikan Pelayanan Terbaik , Service Harga Terbaik & Pengiriman yg Sangat Cepat. Terima Kasih Shopee. Berikan selalu Kepuasan & Pelayanan Terbaik kepada Konsumen, God Job !!!",1,08 Maret 2021
husna Ayu,"Semenjak pake shopee, sekarang kalau mau belanja online ga ribet ribet lagi, apalagi kalau gratis ongkir jadi tambah semangat dong, ditambah lagi kalau pas promo☺️ terimakasih shopee🙏",1,10 Maret 2021
MasJhon Channel,"Harga oke banyak free ongkir,barang selalu sesuai pesanan,sukses selalu buat shopee.",1,10 Maret 2021
Sri Rahayu Ningsih,Belanja gampang dan tdk ribet...banyak diskon lagi...itu yg aku suka...,1,27 Februari 2021
dewi sinta,"Selama saya belanja di shopee barang yg datang belum pernah mengecewakan dan sesuai dg gambar yg di aplikasi,dan toko selalu menanggapi semua chat saya sebagai konsumen dan pelanggan. Sukses selalu buat shopee",1,19 Februari 2021
Amira NH,Bagus sangat lah bagus bisa berbelanja sampe dulu nya sering beli di Tokopedia sekarang sering banget beli di shope makasih shope....❤️😁,1,15 Maret 2021
Andre Putra,"Sangat membantu sekali, Lebih puas dan harga terjangkau, Lebih komplit dan nyaman",1,28 Februari 2021
Abdul Rafly,Yo dowlond gak dowlond nyesel nanti loo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,10 Maret 2021
Dedi Sunarya,"Pokoknya asyik punya aplikasi Shopee walau ga belanja, tapi bisa cuci mata dan tunggu harga promo & discont.. :-)",1,12 Maret 2021
Reni Tia,"Akun shopee aku gak bisa buat pesanan,,kenapa ya ka? Adakah solusinya?",1,26 Februari 2021
Agustina Haryati,"Harga murah bersaing, kalau ada toko yg nakal shoppe sangat baik menanganinya, asalkan buktinya bagus",1,15 Maret 2021
Dwipa Aulia,Aplikasi ini sangat burik tapi sangat bagus selamat mescoba aku dan adik ku blalalalalal canda ✌ maapin ya,1,15 Maret 2021
Yusup Tajiri,"Lumayan👍shopee terbaik dlm solusi buat belanja online,sy coba aplikasi lainya tapi masih kalah sama shopee😊😊😊👍👍,tapi sayang permainan shopee chandy",1,24 Februari 2021
Fazli Khalil,"Bagus memang top banget shopee itu online shop paling bagus sedunia, pokoknya wajib baget belanja di shopee produk nya lengkap banget banyak flAsh sale dan banyak voucher gratis ongkir min belanja RP 0 rupiah nyesel deh kalo gak belanja di shopee pasti akan nyesel dijamin nyesel..........................👍💯",1,18 Februari 2021
Lisa susanti,"Aplikasi belanja online yg oke bgt nih...suka bgt dgn promo2nya, cashback nya banyak, gratis ongkir dll pkknya seruuu abis👍👍👍",1,27 Februari 2021
Toples Rengginang,"Tolong dong, kalo beli pulsa seharusnya bisa pake shopee pay later juga",1,16 Maret 2021
Iwan Hermawan,aplikasinya sangat bagus... hanya d shopee sy slalu blanja online.. makasih shopee...siip lah....,1,06 Maret 2021
Reni Friska,"Kalau mau cari2 barang ga susah,mudah cara ordernya..puaslah selama ini pakai aplikasi shopee...the best",1,07 Maret 2021
Hens van halens,keren aplksinya. tapi kl bisa ditingkatkan lg. soalnya. kl bnyk yg online suka lama loading. apalagi pas ada promo terbatas waktu,1,27 Februari 2021
tegar aji nugroho,"Alhamdulillah dari pertama makek Sampek sekarang belum perah ada kendala sama sekali,sangat membantu saya sekali",1,10 Maret 2021
Apriliani Aku,"dri dlu blm pernah ngerasaiin kecewa belanja di shope, sistem dan kemanan nya bagus bgt, tanggung jwb nyaa shope jg gde bgt :) semoga semkin berproses jdi lbih baik lgi yaa",1,13 Maret 2021
Lawdie Lintang,"Sangat Membantu dan Bermanfaat, Terima kasih banyak Shopee. Terbaik Sepanjang masa God Bless Us",1,05 Maret 2021
Indri Wahjuni,Membantu dlm belanja tanpa harus ribet utk keluar rumah... Bravo Shopee!!!,1,06 Maret 2021
Jakajasmani Jasmani,"Aplikasi apa ini!jelek banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi bohong hayuk,apk ini bagus untuk belanja online,tapi ongkirnya yg tidak tanggung karna mahal,",1,23 Februari 2021
Yulia Putry,"Menggunakan shoppe lebih mudah di banding dgn apk2 lainnya , belanja lbih muda dan bnyk grtis ongkir nya good job 😍",1,10 Maret 2021
Nilamwijaya Mustikawangi,Belanja online aman nyaman. Banyak discon. gaperlu ribet panas² keluar rumah.cukup pake hp pilih barang cari discon + gratis ongkir + nya lagi dapet casbek mantap jiwa...😉,1,11 Maret 2021
RICQY AL,Aplikasinya bagus sekali saya senang belanja di shopee di sana murah meriah ada yang gratis ongkir dan saya puas belanja di shopee,1,08 Maret 2021
Retno yeni Susanti,Hasil dari investor bisa dengan mudah buat belanja online yang bermanfaat karena applikasi pluang ini sifatnya juga online sehingga next step insyaallah mempermudah pemindahan dana dari pluang terkoneksi dengan market place yang tersedia.,1,28 Februari 2021
Arno Pines,"Aplikasinya mantap. Respon penjualnya bagus"". Promo sangat menarik sekali.",1,12 Maret 2021
Nurhayati Ali Muhay,"Cukup membantu sekali belanja d sini, cari apa aja ada, tdk usah repot2 keluan, terima kasih Shopee",1,26 Februari 2021
rajifa firdaus,"Sangat membantu untuk memenuhi kebutuhan sandang,pangan,maupun papan lengkap bangettt",1,02 Maret 2021
selvy ildan,dengan ada y aplikasi shopee ini Sangat membantu saya dan lebih mudah untuk membeli apa yang kt inginkan trimakasih shopee,1,21 Februari 2021
Armon Gaes,Aplikasi.a udh di update... Tp qo shoppe food.a masi ga ada yah....???,1,09 Maret 2021
Pengguna Google,Tambah lagi jadi bintang 5 karna vocer gratis ongkir nya mulai bisa tiap hari lagi.. . gitu donk.. Kan aku droppship juga jadi butuh banget gratis ongkir nya.. . tingkat kan terus ya.. Cashnack juga banyakin.. 👍👍👍,1,07 Februari 2021
Aisya Putri Ramadhani,Hihihi jelek i aplikasi gak guna¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ngabisin duit gua aja gara gara sering liat barang bagus langsung i beli..... banyak kin gratis ongkir nya ya,1,03 Januari 2021
Iin Zul,Perbanyak gratis ongkir lagi.. trima kasih shoppe aplikasi paling rekomended.. untuk persoalan belanja online,1,04 Maret 2021
samsul mashuri,Alhamdulillah selama order di shopee ga ada masalah sedikit pun semoga kedepanya semakin berinovasi menjadi lebih baik lagi Aamiin,1,15 Maret 2021
Fitri Indriyani,sangat bagus sekali aplikasi shopee ini👏👏 di sini saya bisa belanja barang barang kesukaan saya dan ga pernah bosen buat belanja hehe,1,11 Maret 2021
OPW GNTNG,belanja di shopee ga pernah dapet barang zonk.... jadi saya gunakan sehari hari untuk belanja karena aplksi ini sangat terpercaya.,1,11 Maret 2021
Rianty Anty03,Tempat belanja paling aman.. paling nyaman... dan aku ga ada belanja online selain dr aplikasi shopee..,1,03 Maret 2021
Haji Sappe,"Kami sangat Setuju dengan petunjuk serta ulasan2 yang diberikan kepada kami terima kasih,",1,27 Februari 2021
MUSLIMAH SUNNAH,Shopiee sangat membantuku dalam berbelanja apalagi dimasa pandemi ini tingkatkan terus pelayannya agar lebih memuaskan konsumen sukses buat shopiee,1,27 Februari 2021
Helti Haningsih,Selama ini asyik aja belanja di shopee..selain itu jg ada game menarik pas buat lg waktu senggang,1,01 Maret 2021
Lukman Hakim,"Alhamdllh,,, belanja dishopee sesuai dgn yg diinginkan. Terima kasih bnyak.",1,08 Maret 2021
nur insani,"Haii saya pengguna shopee dan saya sangat suka aplikasi nya,ohh iya Skali Skali yang jadi iklan nya red velvet dongg jangan blackpink mulu:(",1,08 Maret 2021
Bambang Sugianto. Happy Cat.,"Senang belanja di shoppe pelayanan adminya juga OK bantu saya waktu ada kendala barang belum sampai tombol terima barang sudah seakan saya terima barang, lalu saya minta bantuan admin shoppe lewat chat pesan di fb nya shoppe di layani dengan baik akhirnya dipulihkan tombol tekan diubah jadi status saya belum terima barang . Yang saya heran kenapa tombol bisa berubah seakan saya sudah terima barang, padahal belum dan tombol sudah ada yang menekan tombol itu yang saya herankan.",1,17 Maret 2021
Messengerizm,Parah lemot. Apk toko paling lemot. Udah update men sale. Buka apk lainnya lancar aja. Game bergiga2 lancar. Klo dah buka shopee yaa ampuuun. Tolong segera dibenahi,1,28 Februari 2021
Iet,"Banyak discount,voucher, promo dan games2nya.rekomen marketplace.👍👍👍",1,17 Maret 2021
Sumiati Sumi,Selalu puas dgn shopee..mempermudah belanja jd ga hrs keluar ..tinggal duduk manis ...makasihh shopee.sukses trus,1,11 Maret 2021
Miptah Hudin,Mungkin emangnya shopee belanja online no 1.jangan di ragukan lagi belanja di shopee.barangnya bagus2.dan harganya yg bersahabat.ayo mari belanja di shopee ajah.,1,05 Maret 2021
Kun Hastuti,Saya udah berlangganan di shopee sudah lama.hampir tiap minggu belanja di shopee.alhamdulilah gk pernh di kecewain sama shopee.barang yg saya pesan bagus2 semua.seller di shopee juga ramah2 sama kurirnya juga.harga barangnya juga murah dan kwalitasnya oke2.saya selalu dapat gratis ongkir.jdi gk bikin isi dompetku terkuras habis.belanja di shopee sangt memuaskan bnyak tawaran2 menarik yg bikin kepengin belanja terus 😊mkasih bnyak shopee.semoga selalu berkembang.,1,24 Februari 2021
aira Nur Syifa,Aplikasinya bagus bgt kalo kita mau belanja online dan waktu pengirimanya juga cepet barng barangnya bagus pula mari kita belanja di shopee,1,28 Februari 2021
Dom Mino,"Belanja di Shopee aman,tidak takut di tipu.karna uang yang terkirimpun aman,sebelum barang sampai ke pembeli uang tdk lansung ditransfer kepenjual, jadi aman uang kita kalau ada penipuan.trimakasih shopee",1,16 Maret 2021
Ranti Syapriani,"Diantara semua aplikasi olshop aku paling suka dengan shopee, Barang lengkap, harga terjangkau, produk kualitasnya bagus, dan yang pasti banyak vochernya, trus juga ada gamenya The best lah pokoknya",1,07 Januari 2021
Dadan Fariz,Mantap semoga lebih mantap lagi Semoga menyediakan diskon dan ongkos kirim gratis semoga tambah sukses shopee,1,10 Maret 2021
Den Rewas lorX,"pihak shopee mohon maaf, mau bertanya, saya selalu melakukan pembayaran lewat shopee pay dan kemudian ada nomor telfon masuk mengatasnamakan shopee, katanya untuk konfirmasi shopee pay, apakah itu bena? soalnya nomornya adalah nomor biasa, mohon dijawab",1,18 Februari 2021
RICO CHANNEL,"ELEH APK APA SIH ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? EITS TAPI BOONG YUK BURUAN DOWNLOAD, KAREA MEMUDAHKAN KITA UNTUK BELANJA, ZAMAN KAYAK SEKARANG..!",1,24 Januari 2021
Kiki Putri Wulandari,Kenapa saat pemabayaran pulsa tidak bisa pakai Spaylater lagi? Biasanya juga bisa ini tumben ga bisa?,1,11 Maret 2021
Muze Poskopi,"Tolong pihak shopee bertindak adil sebagai org ketiga dalam transaksi Saya sebagai penjual merasa sangat di rugikan,ada banyak org yg pesan se enak jidat,terus cancel( di ajukan pengembalian dana) padahal barang sesuai iklan,barang saya tak sampai"" udh sebulan uang nya pun tak masuk ke saldo saya horor",1,21 Februari 2021
Doni Febriansyah,"Aplikasi ngelek kali!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ¡!!!!!!!!!!!!!!! ¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi boong , aplikasi Shopee sangat berguna apalagi pas lagi tidak boleh keluar rumah 👍",1,08 Januari 2021
imu imuyati,"Pelayanan bagus, apalagi bisa COD dan gratis ongkos kirim... Puas belanja di shopee ❤️",1,15 Maret 2021
Lemon Tea,Apk ini sangat buruk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi boong apk ini bagus kok,1,12 Maret 2021
Sawati Waty,"Alhamdulillah, produk ny tidak mengecewakan, Pengiriman jg cepat, mantaaapp dehhh 😘",1,12 Maret 2021
Prabowo Hendrawan,"Aplikasi yg sangat super bermanfaat, apalagi buat profesi ojol.seperti saya ,.",1,24 Februari 2021
Madun Sajjah,"Alhamdulillah , saya gak pernah kecewa belanja disini .. omong² bagi shopeepay dong .. heheheee",1,06 Maret 2021
Melani Rita,"Membantu banget bwt yg ga bs kemana"".. yg sibuk.. asal bs selektif milih barangnya bs dpt yg kualitasnya baik",1,10 Maret 2021
Ici Widiarti,saya sukaaaaaaa banget jd aku tambahin lagi bintang nya ini sangt membantu saya belanja olsop krna saya malas keluar rumah dengn aplikasi shopee ini sangt membantu sekali terimakasih shopee,1,08 Maret 2021
Aisya Putri Ramadhani,Hihihi jelek i aplikasi gak guna¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ngabisin duit gua aja gara gara sering liat barang bagus langsung i beli..... banyak kin gratis ongkir nya ya,1,03 Januari 2021
Neng Devi Siswati,Recomen belanja di sini senang blom pernah dapet barang yang gak sesuai alhamdulilah semua baik baik,1,27 Februari 2021
Udik Purwanto,S H O P E E Y mantap & sangat membantu dg bunga yg sangat murah di banding amplikasi sebelah2x .,1,12 Maret 2021
M Robicandra31,"Tolong dong pihak shopee untuk metode pembayaran secara COD di akun ku di aktifkan lagi, baru 2 kali paket yang gagal masa langsung di nonaktifkan saya juga punya alasan kenapa paket nya gagal paket yg pertama sebelum barang dikirm / masih diproses saya sudah mengajukan pembatalan ke pihak toko tapi mereka tidak mennggapi tiba2 paket telah dikirim, terima kasih",1,10 Maret 2021
